name,type,label,cog,schoold,fips,region,municode
MOON,TOWNSHIP,Moon Township,South Hills Area,Moon Area,50784,AA,925
CORAOPOLIS,BOROUGH,Coraopolis Borough,Char-West,Cornell,16144,AA,817
ROBINSON,TOWNSHIP,Robinson Township,South Hills Area,Montour,65352,AA,939
MCDONALD,BOROUGH,McDonald Borough, ,Fort Cherry,46072,AA,841
SOUTH FAYETTE,TOWNSHIP,South Fayette Township,South Hills Area,South Fayete Township,72160,AA,946
NORTH FAYETTE,TOWNSHIP,North Fayette Township,Char-West,West Allegheny,55016,AA,929
FORWARD,TOWNSHIP,Forward Township,Steel Rivers,Elizabeth Forward,26896,MV,911
SOUTH VERSAILLES,TOWNSHIP,South Versailles Township,Steel Rivers,McKeesport Area,72568,MV,947
WHITE OAK,BOROUGH,White Oak Borough,Steel Rivers,McKeesport Area,84704,MV,875
NORTH VERSAILLES,TOWNSHIP,North Versailles Township,Turtle Creek Valley,East Allegheny,55488,MV,930
BRADFORD WOODS,BOROUGH,Bradford Woods Borough,North Hills,North Allegheny,8064,NH,809
ALEPPO,TOWNSHIP,Aleppo Township,Quaker Valley,Quaker Valley,724,AA,901
COLLIER,TOWNSHIP,Collier Township,Char-West,Chartiers Valley,15216,AA,905
HAMPTON,TOWNSHIP,Hampton Township,North Hills,Hampton Township,32328,NH,914
PITCAIRN,BOROUGH,Pitcairn Borough,Turtle Creek Valley,Gateway,60712,ES,847
INDIANA,TOWNSHIP,Indiana Township,North Hills,Fox Chapel Area,36808,NH,917
O'HARA,TOWNSHIP,O Hara Township,North Hills,Fox Chapel Area,56384,NH,931
ASPINWALL,BOROUGH,Aspinwall Borough,Allegheny Valley North,Fox Chapel Area,3320,NH,801
WEST DEER,TOWNSHIP,West Deer Township,North Hills,Deer Lakes,82800,NH,952
BELLEVUE,BOROUGH,Bellevue Borough,Quaker Valley,Northgate,5312,NH,803
BETHEL PARK,MUNICIPALI,Bethel Park Municipality,South Hills Area,Bethel Park,6064,SH,876
TRAFFORD,BOROUGH,Trafford Borough, ,Penn-Trafford,77272,MV,857
KILBUCK,TOWNSHIP,Kilbuck Township,Quaker Valley,Avonworth,39624,NH,920
EAST MCKEESPORT,BOROUGH,East McKeesport Borough,Turtle Creek Valley,East Allegheny,21444,MV,821
PENN HILLS,MUNICIPALI,Penn Hills Municipality,Turtle Creek Valley,Penn Hills,59032,ES,934
FOREST HILLS,BOROUGH,Forest Hills Borough,Turtle Creek Valley,Woodland Hills,26592,ES,828
MONROEVILLE,MUNICIPALI,Monroeville Municipality,Turtle Creek Valley,Gateway,50528,ES,879
OAKDALE,BOROUGH,Oakdale Borough,Char-West,West Allegheny,55840,AA,844
JEFFERSON HILLS,BOROUGH,Jefferson Hills Borough,South Hills Area,West Jefferson Hills,37955,SH,878
MARSHALL,TOWNSHIP,Marshall Township,North Hills,North Allegheny,47696,NH,923
EAST DEER,TOWNSHIP,East Deer Township,Allegheny Valley North,Deer Lakes,21024,NH,907
PINE,TOWNSHIP,Pine Township,North Hills,Pine-Richland,60272,NH,935
FINDLAY,TOWNSHIP,Findlay Township,South Hills Area,West Allegheny,25904,AA,910
PITTSBURGH,CITY,Pittsburgh, ,City of Pittsburgh,61000,PGH,100
